,author,content,time,score
0,shangtsung69,I have 5 of them I will sell them to medical professionals for the same price they charge me for a bandaid 3000 apiece are open,2020-02-29 23:31:51,352
1,SENESERAT,I m holding out for 4000 3750 and I just might agree,2020-02-29 23:56:49,35
2,JustinKnight03,They prevent the spreading of other diseases that they have to deal with 24 7,2020-02-29 23:28:43,179
3,DazZimmer,hahhah why do the providers need it if its not effective in preventing convi,2020-02-29 23:26:51,83
4,JustinKnight03,they are effective in preventing the spread of other diseases the mask does for the is prevent people from touching their mouth nose,2020-02-29 23:27:54,50
5,IvankaCrunk,when do healthcare providers shop a,2020-02-29 23:26:30,52
6,JeffFar2,do you think gets them from,2020-02-29 23:27:00,28
7,spartanannie,Are the Healthcare providers going to for their masks The supply chain for these two groups should not be the same don t healthcare workers have priority with manufacturers,2020-02-29 23:36:13,36
8,suevess,what i was thinking are 2 different markets If a buy a mask at it is not going to deprive an ER nurse from having one,2020-02-29 23:46:05,21
9,JBinzy84,is an actual emergency at my hospital so seriously people please listen,2020-02-29 23:27:16,33
10,SC_Towny,a masks don t work why do the health care workers use them,2020-02-29 23:28:35,71
11,toolewlew,we could manufacturer them in the US again a thought,2020-02-29 23:28:06,16
12,LifesMaster,I believe there s a 3M facility in that is making them but exclusively for government purchase now,2020-02-29 23:51:24,3
13,medit8now,bet there are stockpiles of these masks in the and all of the households,2020-02-29 23:36:19,35
14,deltamoxie,my healthcare provider is going to run to and buy masks they must do that we are in trouble,2020-02-29 23:42:13,20
15,Matthew09351501,It might surprise you but the truck leaving the factory loaded up with surgical masks can make two stops one at and one at the hospital,2020-03-01 01:01:41,12
16,genofthesea,makes little sense There are either effective or they re not effective be honest and say there s a shortage,2020-02-29 23:46:26,12
17,cmac324,I don t think they are effective people feel like they re doing something I think the best thing to do is try to keep your immune system strong good sleep clean water healthy food relax walk don t worry,2020-02-29 23:56:26,4
18,joshindenver,I was told this couldn t happen under capitalism,2020-02-29 23:32:21,12
19,old_doc1944,can t get them in or,2020-03-01 00:09:51,4
20,clintxgodwin,aren t hospitals healthcare facilities better prepared don t they have their own stockpiles of supplies,2020-03-01 00:04:24,8
21,pcplz,trump,2020-03-01 02:04:05,5
22,kobephd,they are not effective why do the health care workers need want them asking,2020-02-29 23:29:16,4
23,JustinKnight03,prevent the spreading of other diseases that the doctors have to help treat 24 7,2020-02-29 23:33:17,3
24,TomTillander,don t work but we need them doesn t add up,2020-02-29 23:30:23,7
25,MaMateos,The general population does not need them The people who work in health dental care need them to protect us from 100 other diseases,2020-03-01 00:04:34,10
26,qcoxster,there ineffective for me then why do medical professionals need them,2020-02-29 23:30:37,9
27,MaryTills,I m a dental tech and don t want to breathe in dental calculus while doing my job Do you breathe in aerosolized calculus while doing your job,2020-02-29 23:46:30,9
28,illegalAtlien,sounds like a you problem bruh bruh,2020-02-29 23:27:35,23
29,RyanLatchkey,N95 masks do work medical workers wear them,2020-02-29 23:28:10,11
30,autism_mommie,should say health care workers and individuals who are immunocompromised like my son and husband,2020-02-29 23:32:59,11
31,RyanSternMD,I have I avoid leaving my home the have a hypothesis how the virus spreads coronavirus trump is lying to citizens about the pandemic,2020-02-29 23:36:56,2
32,Holistic2019,It does protect spread If a person is sick if he wears it there are less chances of spread more masks has a right to protect themselves If masks don t work for public howcome the very same masks work for health care professionals We are getting vague answers,2020-02-29 23:51:53,4
33,DereKYblacc,so It works for them not us And just make more It s just tissue and rubber bands,2020-03-01 00:37:09,4
34,Josh68570217,other situations in the hospital,2020-03-01 02:32:18,1
35,Lawilc01,of people in this thread missing the point that this virus isn t the only thing that healthcare workers are treating for example when my chemo port is accessed weekly I have to wear one as does the oncology nurse as getting a port infection would be very bad for me,2020-03-01 01:15:48,7
36,eican,my husband is a health care provider and his agency was unable to order them for staff this week joke,2020-02-29 23:27:53,3
37,franknewer,The reason the authority saying thay way is US don t have and can t produce sufficient face masks for people Be cautious be prepared,2020-03-01 01:38:13,9
38,tiantian_s,i also did not see a single person wearing them properly today surgical or paper masks they were loose or didn t properly cover nose mouth and there was a child wearing an adult mask far too big for her all wasted,2020-03-01 01:43:20,1
