,author,content,time,score
0,rpsnider,would of paid them longer with a yes vote from the senate need to work for companies and the workers and simple,2020-03-23 17:22:26,2
1,Michael_4RE,no need for the to bail out massive companies like,2020-03-23 17:24:21,10
2,Roland_Jenkins,weeks s just a start if you re waiting for the virus to apex,2020-03-23 17:23:45,3
3,ErinVerginia,s see how long it takes for the mandatory shelter in place to come down now,2020-03-23 17:25:16,1
4,DenisKOjhara,move,2020-03-23 19:40:27,1
5,Earnestpoodle,you,2020-03-23 17:22:36,0
6,public_juan,ain t reopening in 2020Who needs an airplane now,2020-03-23 17:26:09,0
7,atv513,you so much for stepping up and helping your people,2020-03-23 17:30:39,0
8,MialesR,airplane manufacturer shutting down,2020-03-23 17:43:45,0
9,TechCloud5,s are forcing and risking their employees life to continues work during curfew 11pm 5am in state of,2020-03-23 18:03:28,0
10,JGoteborgaren,24th 1929 is closer than ever 19,2020-03-23 18:07:40,0
11,crazygma61,19 confirmed in and 1 yesterday to to take this,2020-03-23 18:32:28,0
12,Ginephre,they make ventilators,2020-03-23 18:54:03,0
13,Tong24895745,company,2020-03-23 20:00:37,0
14,JoeyZaZ42923682,made multi last year and was making MULTI this year and those scumbags can only pay workers 10 working days them fail,2020-03-23 17:23:53,4
15,MadAlpacas,10 working days would be 2 weeks,2020-03-23 17:27:03,1
16,AlexMiaFlUSA,are holding the country hostage with the so they can get their way,2020-03-23 18:00:47,0
17,RainyMyth,30 days 30 days,2020-03-23 17:36:54,0
