,author,content,time
0,join_2020,wow now you want to rip the positive family member away to some lock up,2020-04-18 22:28:23
1,Bob_Vegas875,Where is Trump s reopen America Again,2020-04-18 22:25:24
2,Greeneyeangel5,I really hope for a successful mission,2020-04-18 22:24:47
3,KarenLeary7,RT turn off trumps lies This is not journalism It is bullshit,2020-04-18 22:24:18
4,Perry829,fake news Trump just has a great briefing You guys should listen to yourselves Tell Coumo to review the shows so he can report back how bad it is,2020-04-18 22:22:04
5,Cryptoskeptic1,Is Tetris still there,2020-04-18 22:21:01
6,usaub40,I am worried that 12 000 cars have gathered in the US food bank parking lot since dawn,2020-04-18 22:20:43
7,dfbeacom,Enough of the covering of the Covid 19 briefings You guys do a better job of adding to the story with your interviews,2020-04-18 22:19:21
8,Vince182542570,please CNN why do you televise Trumps ranting and raving everyday on these so called coronavirus briefings It s a disgrace of all the lies that he spews out All networks should ban him and reporters at the briefings should just walk out as soon as Trump starts talking,2020-04-18 22:19:02
9,elo1designs,I m sorry I just think its Totally irresponsible to air this bull shit and just let him ramble of lie after lie and no one saying anything its so fucking ridiculous and frustrating I want to fucking scream,2020-04-18 22:18:21
10,mrpgator,Why is Trump being allowed free political prime time every night without equal time to Biden He is pre emoting local news to have a political rally hardly anything about the pandemic,2020-04-18 22:18:06
11,windblowswords,May they all RIP,2020-04-18 22:17:15
12,LadyDi0617,please cut trump off Enough with the campaign rally,2020-04-18 22:16:39
13,sdixon1911,So CNN and Governor of New York saying 540 icu beds have come available due to sad lost of life of someone love very heart breaking,2020-04-18 22:15:37
14,BigDipperPhD,Because they are double counting all things as corona and adding in deaths from before this hoax Wake up,2020-04-18 22:15:28
15,slygag,I cant take it anymore those trump speeches I m about to cancel your station Its propaganda and his rally speech not corona Please cut him off Your being complicit with this fool person,2020-04-18 22:15:12
16,pickles_smith,cut away from Trump He s babbling,2020-04-18 22:14:37
17,Garage_Floor,RT Why do you continue to air this Trump Press Conference bullshit This is just him bragging about every topic under t,2020-04-18 22:14:18
18,mp152427,Ok now he s tLking about Biden What is wrong with CNN he is using you just like he uses Fox I am so angry right now,2020-04-18 22:14:11
19,GoodAshe,Why do you continue to air this Trump Press Conference bullshit This is just him bragging about every topic under the sun It s a free campaign speech every day You re doing the same thing you did in 2016 and giving him all the free air to lie to America,2020-04-18 22:12:53
20,donnajmeehan,enough coverage for today It s a campaign rally,2020-04-18 22:12:00
21,DonnyB75213249,Flu shots have influenza viruses actually in each shot would that Influenza viruses test positive for Covid19 in some of these new tests being developed Fauci knows the truth but great question for HIM,2020-04-18 22:10:27
22,JeanSnopaw1,Just went to see what was happening in cnn You were televising the Trump Show so I turned it off again,2020-04-18 22:10:10
23,kimby1556,China numbers are really low and most likely underreported BUT didn t China impose a 76 day lockdown Was it really NO grocery stores and NO pharmacy and NO takeout food I imagine that could keep numbers on the low side but certainly not that low Thoughts,2020-04-18 22:09:37
24,larkt2012,Take Trump off the air Who gives a shit about guns when people are dying,2020-04-18 22:08:46
25,cynical_vu,Why does it always look like the press is apologetic and defensive almost scared of asking a direct question to the POTUS even when he insults the press or lies on the podium He is not a monarch don t be scared Hold him accountable for his what he says,2020-04-18 22:06:53
26,Reneami50020561,RT turn off trumps lies This is not journalism It is bullshit,2020-04-18 22:06:37
27,LynchLucine,Why is NY having such high deaths still,2020-04-18 22:04:41
28,PaMike16,STOPGIVINGHIMSCREENTIME,2020-04-18 22:03:12
29,TerryHe10632934,what does the president think about California paying undocumented people money,2020-04-18 22:03:08
30,usaub40,Baby world news Finland has been well off in public welfare but the number of coronavirus infections has been on the rise due to the recent failure of quarantine be worried,2020-04-18 22:02:02
31,mp152427,Why are you giving trump this political rally What does Israel have to do with the virus It is so ridiculous He owns the press every day,2020-04-18 22:01:26
32,grrvaughn,time to cut away He babbling yet again,2020-04-18 22:01:18
33,janetleehenders,US sent the masks or was it 3 M that sent the masks to China Stop the lies CNNisFakeNews,2020-04-18 21:58:14
34,Izzylovestee,Troilo,2020-04-18 21:56:56
35,paul_hees,At least somebody is honest with the numbers Dr Birx compares how well the US is doing in comparison to Europe Show these numbers again 2 months from now,2020-04-18 21:56:34
36,felicia07714810,POTUS please shut your pie hole let the others speak You add no value to my life Just shhhhhhhh,2020-04-18 21:55:33
37,nmh1021,Huh,2020-04-18 21:55:26
38,Chowawa,He belongs at CNN along with the other,2020-04-18 21:55:23
39,Love17Daisy,TrumpLiesAmericansDie,2020-04-18 21:53:37
40,guimor56,I warn the people of the U S that their democracy is a great farce Trump will be reelected if the dictatorial oligarchic elite that manipulates the electoral processes in that country decide to do so Pure oligarchic capitalist totalitarianism Don t be surprised,2020-04-18 21:53:14
41,Tachala,why would America send China masks when they make mask in China and Canada bought mask in China Pure nonsense,2020-04-18 21:51:54
42,jc67030854,Crysta super model in my eyes big and beautiful perfect,2020-04-18 21:51:36
43,aaronios7577,are any media outlets including you guys going to investigate or publish something related to what is doing to all of its customers They ve stole our money and the shut down their app and website and also their call center They keep giving vague and,2020-04-18 21:49:41
