,author,content,score,time
0,Raihannah Taylor,"For years many people in my community in the United States have asked for the return of factories and the reduction of automated machines. It's not only a concern regarding layoffs, loss of wages, and productivity, for many people who were once employed through industry, but about creating local jobs and having the ability to ""reopen"" or ""bring back"" factories where citizens once made products for the country they lived in.
Thinking back to the 1950's where cars, household products, beauty products, food supply, and small business thrived in local communities creating an economic boom in the United States helped this country thrive into a world power.
Yes, most of the world power was due to the success of winning of World War II, however, the United States made and produced its own products and wealth for many years until the business deals with China. Many factories were shut down, many communities had to find jobs in the city if they were from rural areas, and the education and skill requirements had completely changed.
In summary and to explain my point, with China being the #1 country to produce and create many products that citizens in the United States use, we have destroyed our own local businesses and factories and put so much into the cheap labor that China produces. The big businesses in the United States are cheap and have no regard for quality only quantity, putting all there eggs in China.
Now we're all feeling the affects of it through COVID-19 and the basket has cracked.",0,2020-03-02T10:46:57.000Z
1,James Snider,You need a PM with backbone... Right now you have a wet noodle.,0,2020-02-29T08:38:06.000Z
2,T D,This virus scare is exactly that..a scare....the virus is no worse than any other virus...the cabal will use this to crash the economy and blame it on the virus...also...notice how the demonstrations stopped in Hong Kong...coincidence...I think not...think China won't kill their own...Mao Tre Hung killed millions!!!!,0,2020-02-26T21:25:14.000Z
3,Anna Lee,I'm so so sorry for all the people who have coronaviras I hope you all get better very soon,0,2020-02-26T13:54:52.000Z
4,Mark Nelson,"How long does it stay on material, everything you buy on amazon or eBay comes from China 🇨🇳. Is it safe to get a package from there.",0,2020-02-24T18:40:54.000Z
5,Mr. C,"actually if its airborne and can breed in the air and if any planes had the exterior infected with the virus it could be breeding in the jet streams already which I fricken hope not but it is possible as people have been speculating it is airborne and aerosol which I think aerosol means it does not need a water droplet to transfer, then with rain/snow or any other weather system dust etc it will spread everywhere not much can be done but stockpile supplies if that is the case. I hope not but that is what my foresight says. I hope I am wrong I hope it is not airborne if it is they already effected everyone it's just a matter of time, well actually depending on the way the jetstream travels there would be potential safe zones but that's not considering birds and bugs carrying the virus so nvm actually. Get a mask while you can is what I think also get cans of soup and watnot. Eventually immunity will build in survivors and you may all survive. I'm type one diabetic so I'll prob die which sucks but not much I can do but try to prepare my family and people that will listen. I have high immunity to diseases though and my type one diabeties was causes by my own immune system attacking my islet cells they may have of been cancerous..so I may survive. We shall see *sigh* prepare better off to get ready for the worst and hope for the best. God bless I hope I'm wrong and I hope its not airborne/aerosol and I hope that is just pure speculation. Dont expect your leaders to tell you that they cant think like that. It's not their fault for not having that kind of foresight I have not seen anyone else say that either. All we can do is try to help each other survive",0,2020-02-23T06:52:32.000Z
6,Oslec Liedbag,Clowns running the country.,0,2020-02-22T22:10:43.000Z
7,Flow Em,"Anything Trudeau says means nothing, we all know, and that is very sad.",0,2020-02-22T18:28:25.000Z
8,jim beam,What caused the fire?,0,2020-02-22T14:05:54.000Z
9,jim beam,No mask? Put new charcoal cigarette filters in your nose.,0,2020-02-22T13:59:47.000Z
