,author,content,score,time
0,Chuck Barnett,"If the coronavirus comes in contact with toxic Masculinity it can become extremely lethal to strong independent women. Protect them by refusing to help, and remind them: they don't need a Man.",0,2020-03-21T15:18:33.000Z
1,Michele Simko,John Q. Public. Has he said anything yet?,0,2020-03-08T18:19:59.000Z
2,Chistoph,"Y’all do know that the flu has killed more people this year than this bs virus right , I mean if you don’t have any immune issues you’ll be fine. But you all let the media keep scaring you.",0,2020-03-07T12:57:09.000Z
3,skelly2011211,I mean the testing could be down because people are severely quarantined. Security has been steadily tightened,0,2020-03-04T21:36:15.000Z
4,skelly2011211,He just got off the plane from China that’s why he’s sitting solo lol,1,2020-03-04T21:20:20.000Z
5,HOH,I've photographed the video and the comments. If they take this video down or shut off comments I will post the proof!!  By the way I have 10 years of CDC experience and I worked on a cruise ship where ur leadership was nothing less than appalling!,0,2020-03-04T02:23:00.000Z
6,HOH,"How about a priority list for families, in order of priority, like must have, good to have, if u have the funds etc. what they should stock up on.",0,2020-03-04T01:44:35.000Z
7,HOH,"What advice are u giving people, practically nothing!  Tell them to avoid public toilets it is aerosolized 200 m if someone has diarrhea. Tell them to put the lid down then flush.  Tell them to cook all their vegetables. How about telling them to use their cellphone thru a plastic baggy, use one card, no cash.  China is spraying their cash.  What are the long term effects from spraying virucidal chemicals???",0,2020-03-04T01:28:45.000Z
8,HOH,"Idiots!  This is the third time I've watched and they are still having audio problems.  Don't trust ur life 2 people who can't even get audio right.  Yeah, he should of been wearing a mask, but they can't because there are not enough for Joe civilian.  He was in China he should of been wearing a mask incubation up to 27 days!!!  And there is post illness shedding for 10 days!!",0,2020-03-04T01:15:23.000Z
9,Chris Davison,"We need to setting up, special isolation buildings, equipted with respirators. Now",0,2020-03-03T15:21:21.000Z
10,Chris Davison,"We need to setting up, special isolation buildings, equipted with respirators. Now",0,2020-03-03T15:21:21.000Z
11,Chris Davison,"We need to setting up, special isolation buildings, equipted with respirators. Now",0,2020-03-03T15:21:21.000Z
12,Chris Davison,"We need to setting up, special isolation buildings, equipted with respirators. Now",0,2020-03-03T15:21:21.000Z
13,Chris Davison,"We need to setting up, special isolation buildings, equipted with respirators. Now",0,2020-03-03T15:21:21.000Z
14,Chris Davison,"We need to setting up, special isolation buildings, equipted with respirators. Now",0,2020-03-03T15:21:21.000Z
15,down under,"THIS WOULD HAVE TO BE ONE OF THE MOST SICKENING EXAMPLES OF THE WHO SYCOPHANTIC DIALOGUES ON  CHINA  I HAVE EVER SEEN. DONT WASTE YOU TIME ON WATCHING THIS, IT GIVES NO REAL INFOMATION ON THE VIRUS EXCEPT TO STATE IT WAS LUCKY IT STARTED IN CHINA, AND HOW FANTASTIC THE CCP IS.",0,2020-03-03T14:09:13.000Z
16,Anthony Rodriguez,Can I get a drink of a Corona,0,2020-03-03T08:24:09.000Z
17,Seth Pomeroy,The WHO is no longer a reputable organization. They are only a CCP propaganda wing.,0,2020-03-02T21:31:34.000Z
18,Mapoleng Ndengwa,🤣😂🤣😂🤣😂🤣😂🤣😂🤣,0,2020-03-02T20:48:42.000Z
19,Gemini’s Wayward bound,"We’re done, hope you’ll  had a great life 😀🙏🏼 to the world we need them",1,2020-03-02T08:55:25.000Z
20,Gary Simone,Thêse guys are scary get to the point  already,0,2020-03-02T04:49:11.000Z
21,Aison,"In China, the government is working hard to get people to do virus testing and treatment，Virus testing, treatment, care, beds, food and ambulances are all free，The patient pays zero for it，Even more incredible, after the Chinese shiyan city people fever，If they take the initiative to do a virus test，Not only do they not have to pay, the government also rewards them with 1,000 ¥，In Qianjiang, China, people will get a reward of 10,000 ¥ if they report a fever case to the government.....Very proactive！But in contrast...Many countries are not actively testing for the virus，It is difficult for patients to apply for testing qualification，Testing costs are also very expensive....In this situation, it is inevitable that a large number of people will not be detected.There are many signs that they are doing it on purpose.There will be no confirmed cases without testing，The epidemic is not serious without a confirmed case，Governments do n’t have to block cities to isolate viruses，So the economy and stocks will not collapse，Capitalists will be very happy..Even if people get a new virus and die, they are considered to have died from the flu..Capital is the boss in the capitalist countries.The interest of capital always prevails，The life and health of ordinary people is not important.",0,2020-03-02T02:36:48.000Z
22,Ben Gunn,We're in the internet age - this incompetence is being recorded for all of time.,8,2020-02-27T12:45:54.000Z
23,G Mac,"Those who are puzzled over all the negative attitudes towards China, we have to remember that the fear is really about 5G, Huawei, and Communism in a  time where the US has Bernie Sanders and the UK just had Brexit. Politics is driving this hatred so I don't think it's really racism. China's communist ""success"" is very threatening to some groups. Don't let the nay sayers get to you. When this virus brings the rest of the world to it's knees, they will see and be impressed with what it means to overcome this challenge.",3,2020-02-27T04:46:44.000Z
24,sv1201,Why wasn't he put in quarantine after returning from China? Why is he not wearing a mask?,0,2020-02-27T04:13:00.000Z
25,Thor Haakon Sandberg,"CHINA: Great beast nr nine = 666. 
-------------------------------------------------------
Coronavirus (China): Beast nr nine = 1776.
Coronavirus: Dark Thor Haakon = 1776. 
Viruses of dark angel Thor Haakon = 1776. 

XI JINPING (CHINA): Dark Beast Thor Haakon = 1776.
----------------------------------------------------------
UN SNAKE: King nr nine = 666. 
Dont hide from king nr nine = 666.",0,2020-02-27T00:47:57.000Z
26,Kotono Hayama,"People are really afraid, especially in europe since their governments are usually left and huge fans of a policy of open borders. :<",2,2020-02-26T22:29:58.000Z
27,mick park,A spin doctor with a tell,0,2020-02-26T19:53:19.000Z
28,sandra burke,Where? Where? WHERE DO YOU BUY MORE TIME? I WISH TO KNOW!!,0,2020-02-26T17:36:31.000Z
29,sandra burke,"They SPEND MORE TIME WITH Introductions & Thank yous then telling us the Information.
****FORGET THE FORMALITIES ALREADY****",8,2020-02-26T17:35:40.000Z
